批次号,客户编号,入仓号,包裹类型,总件数,快递号,总重量(kg),总体积重,是否超长,是否付款,实付金额(C$),freight(C$),Duty(C$),GST(C$),附加服务,保险,总金额(C$)
ONO230701,ASXYZ,ONO2ASXYZ0312307,海运-小额,1,YT8914497180527,3.164,0.01,,,,3,0,0,,0,3
ONO230701,TTNKF,ONO2TTNKF0242306,海运-小额,1,7.87007E+13,3.009,0.01,,,,3,0,0,,0,3
ONO230701,BTTBX,ONO2BTTBX0092306,海运-小额,1,YT1807931287883,2.134,0.01,,,,3,0,0,,0,3
ONO230701,PFHXU,ONO2PFHXU0522306,海运-小额,1,7.57025E+13,2.545,0.01,,,,3,0,0,,0,3
ONO230701,FQPNW,ONO2FQPNW0392306,海运-小额,1,7.87005E+13,4.179,0.01,,,,3,0,0,,0,3
ONO230701,PFHXU,ONO2PFHXU0512306,海运-小额,1,7.57025E+13,2.805,0.01,,,,3,0,0,,0,3
ONO230701,QAYPU,ONO2QAYPU0072306,海运-小额,1,7.56106E+13,0.834,0.01,,,,3,0,0,,0,3
ONO230701,QAYPU,ONO2QAYPU0062306,海运-小额,1,JT3036947770724,1.884,0.01,,,,3,0,0,,0,3
ONO230701,FQUWT,ONO2FQUWT0062306,海运-小额,1,DPK366047470367,4.675,0.01,,,,3,0,0,,0,3
ONO230701,CXRNX,ONO2CXRNX0532306,海运-小额,1,JT3036583979212,2.025,0.01,,,,3,0,0,,0,3
ONO230701,PFHXU,ONO2PFHXU0482306,海运-小额,1,7.57014E+13,1.73,0.01,,,,3,0,0,,0,3
ONO230701,PFHXU,ONO2PFHXU0472306,海运-小额,1,7.57015E+13,3.619,0.01,,,,3,0,0,,0,3
ONO230701,CSAPW,ONO2CSAPW0222306,海运-小额,1,4.33295E+14,5.05,0.01,,,,3,0,0,,0,3
ONO230701,CQBNX,ONO2CQBNX0162306,海运-小额,1,4.33298E+14,3.4,0.01,,,,3,0,0,,0,3
ONO230701,BUPFE,ONO2BUPFE0322306,海运-小额,1,4.33295E+14,3.555,0.01,,,,3,0,0,,0,3
ONO230701,BUPFE,ONO2BUPFE0312306,海运-小额,1,4.33295E+14,4.61,0.01,,,,3,0,0,,0,3
ONO230701,BUPFE,ONO2BUPFE0302306,海运-小额,1,4.33295E+14,1.94,0.01,,,,3,0,0,,0,3
ONO230701,YFWZE,ONO2YFWZE0332306,海运-小额,1,9.77309E+12,1,0.01,,,,3,0,0,,0,3
ONO230701,FQUWT,ONO2FQUWT0022306,海运-小额,1,JD0109699806748,1.509,0.01,,,,3,0,0,,0,3
ONO230701,FQUWT,ONO2FQUWT0012306,海运-小额,1,JD0109699806748,0.129,0.01,,,,3,0,0,,0,3
ONO230701,SNSYN,ONO2SNSYN0102306,海运-小额,1,7.86985E+13,2.42,0.01,,,,3,0,0,,0,3
ONO230701,ARBEK,ONO2ARBEK0092306,海运-小额,1,7.72021E+14,4,0.01,,,,3,0,0,,0,3
ONO230701,SNSYN,ONO2SNSYN0092306,海运-小额,1,7.86985E+13,1.36,0.01,,,,3,0,0,,0,3
ONO230701,ASXYZ,ONO2ASXYZ0302307,海运-小额,1,YT8914501017340,3.174,0.01,,,,3,0,0,,0,3
ONO230701,XTYFQ,ONO2XTYFQ0072307,海运-小额,1,7.8701E+13,1.115,0.02,,,,11.98,,,,0,11.98
ONO230701,XTYFQ,ONO2XTYFQ0062307,海运-小额,1,JT3037273013274,1.414,0.02,,,,11.98,,,,0,11.98
ONO230701,SEWHR,ONO2SEWHR0062306,海运-小额,1,7.87007E+13,5.84,0.02,,,,11.98,0,0,,0,11.98
ONO230701,PFHXU,ONO2PFHXU0532306,海运-小额,1,6.21053E+14,1,0.02,,,,11.98,0,0,,0,11.98
ONO230701,PHURP,ONO2PHURP0162306,海运-小额,1,YT7329080020236,5.28,0.02,,,,11.98,0,0,,0,11.98
ONO230701,QAYPU,ONO2QAYPU0082306,海运-小额,1,7.56106E+13,8.305,0.02,,,,11.98,0,0,,0,11.98
ONO230701,WWANS,ONO2WWANS0082306,海运-小额,1,7.35041E+13,9.975,0.02,,,,11.98,,,,0,11.98
ONO230701,CXRNX,ONO2CXRNX0552306,海运-小额,1,7.7323E+14,1,0.02,,,,11.98,0,0,,0,11.98
ONO230701,BTTBX,ONO2BTTBX0072306,海运-小额,1,4.33308E+14,2.779,0.02,,,,11.98,0,0,,0,11.98
ONO230701,CSAPW,ONO2CSAPW0232306,海运-小额,1,9.87155E+12,3.595,0.02,,,,11.98,0,0,,0,11.98
ONO230701,CSAPW,ONO2CSAPW0212306,海运-小额,1,4.33298E+14,7.949,0.02,,,,11.98,0,0,,0,11.98
ONO230701,BUPFE,ONO2BUPFE0292306,海运-小额,1,7.8698E+13,2.359,0.02,,,,11.98,0,0,,0,11.98
ONO230701,EUKWQ,ONO2EUKWQ0022306,海运-小额,1,JD0109260580120-1-1-,8.114,0.02,,,,11.98,0,0,,0,11.98
ONO230701,CSAPW,ONO2CSAPW0182306,海运-小额,1,JT3036177724600,2.505,0.02,,,,11.98,0,0,,0,11.98
ONO230701,CSAPW,ONO2CSAPW0172306,海运-小额,1,4.33296E+14,3.775,0.02,,,,11.98,0,0,,0,11.98
ONO230701,CSAPW,ONO2CSAPW0162306,海运-小额,1,8.1002E+12,6.204,0.02,,,,11.98,0,0,,0,11.98
ONO230701,YFWZE,ONO2YFWZE0342306,海运-小额,1,3.12217E+14,5.48,0.02,,,,11.98,0,0,,0,11.98
ONO230701,BTTBX,ONO2BTTBX0132307,海运-小额,1,7.87007E+13,12.854,0.03,,,,17.97,0,0,,0,17.97
ONO230701,CWBHQ,ONO2CWBHQ0242306,海运-小额,1,7.35043E+13,7.775,0.03,,,,17.97,0,0,,0,17.97
ONO230701,UCTNY,ONO2UCTNY0062306,海运-小额,1,7.87004E+13,7.09,0.03,,,,17.97,0,0,,0,17.97
ONO230701,BTTBX,ONO2BTTBX0082306,海运-小额,1,JDVC19958483045,2.71,0.03,,,,17.97,0,0,,0,17.97
ONO230701,BBYZZ,ONO2BBYZZ0262306,海运-小额,1,SF1448460268092,3.535,0.03,,,,17.97,0,0,,0,17.97
ONO230701,BBYZZ,ONO2BBYZZ0252306,海运-小额,1,SF1420264984288,4.599,0.03,,,,17.97,0,0,,0,17.97
ONO230701,STRXY,ONO2STRXY0032306,海运-小额,1,DPK211909327441,6.315,0.03,,,,17.97,0,0,,0,17.97
ONO230701,QPKWH,ONO2QPKWH0092306,海运-小额,1,7.73229E+14,2.115,0.03,,,,17.97,0,0,,0,17.97
ONO230701,UUXQA,ONO2UUXQA0462306,海运-小额,1,7.86974E+13,5.78,0.03,,,,17.97,0,0,,0,17.97
ONO230701,HKUZP,ONO2HKUZP0062307,海运-小额,1,JT0008639650721,7.614,0.04,,,,23.96,0,0,,0,23.96
ONO230701,FWUQR,ONO2FWUQR0022307,海运-小额,1,DPK202188594280,10.39,0.04,,,,23.96,0,0,,0,23.96
ONO230701,PFHXU,ONO2PFHXU0502306,海运-小额,1,DPK202187084080,11.164,0.04,,,,23.96,0,0,,0,23.96
ONO230701,CUFPQ,ONO2CUFPQ0212306,海运-小额,1,4.3329E+14,1,0.04,,,,23.96,0,0,,0,23.96
ONO230701,EUKWQ,ONO2EUKWQ0012306,海运-小额,1,YT3750741935621,15.18,0.04,,,,23.96,0,0,,0,23.96
ONO230701,HEEEP,ONO2HEEEP0352306,海运-小额,1,YT7315225012549,3.845,0.04,,,,23.96,0,0,,0,23.96
ONO230701,TBUXB,ONO2TBUXB1182306,海运-小额,1,4.33295E+14,15.76,0.05,,,,29.95,0,0,,0,29.95
ONO230701,UUXQA,ONO2UUXQA0472306,海运-小额,1,4.33293E+14,11.329,0.05,,,,29.95,0,0,,0,29.95
ONO230701,SEWHR,ONO2SEWHR0052306,海运-小额,1,SF1401128186230,5.364,0.06,,,,35.94,0,0,,0,35.94
ONO230701,XTYFQ,ONO2XTYFQ0052307,海运-小额,1,7.87008E+13,2.595,0.07,,,,41.93,,,,0,41.93
ONO230701,XTYFQ,ONO2XTYFQ0012307,海运-小额,1,DPK300811570340,7.045,0.07,,,,41.93,,,,0,41.93
ONO230701,APAYF,ONO2APAYF0022306,海运-小额,1,4.333E+14,1,0.08,,,,47.92,0,0,,0,47.92
ONO230701,QCCNQ,ONO2QCCNQ0192306,海运-小额,1,4.33297E+14,1,0.09,,,,53.91,0,0,,0,53.91
ONO230701,CXRNX,ONO2CXRNX0512306,海运-小额,3,SF1429551036657,3,0.09,,,,53.91,0,0,,0,53.91
ONO230701,PERTW,ONO2PERTW0012306,海运-小额,1,3.12218E+14,1,0.1,,,,59.9,0,0,,3,62.9
ONO230701,WUAUK,ONO2WUAUK0012306,海运-小额,2,SF2061873261305,26.765,0.1,,,,59.9,0,0,,0,59.9
ONO230701,APAYF,ONO2APAYF0012306,海运-小额,1,7.83496E+13,1,0.1,,,,59.9,0,0,,0,59.9
ONO230701,FSKEC,ONO2FSKEC0012306,海运-小额,1,SF1511571066337,1,0.1,,,,59.9,0,0,,0,59.9
ONO230701,CXRNX,ONO2CXRNX0522306,海运-小额,1,JT3036413797237,1,0.12,,,,71.88,0,0,,0,71.88
ONO230701,PHURP,ONO2PHURP0152306,海运-小额,1,YT7322135358240,1,0.18,,,,107.82,0,0,,0,107.82
ONO230701,WUAUK,ONO2WUAUK0022306,海运-小额,3,SF1456665493295,1,0.27,,,,161.73,0,0,,6,167.73
ONO230701,BUPFE,ONO2BUPFE0332306,海运-小额,1,DPK364206577188,1,0.27,,,,161.73,0,0,,12,173.73
ONO230701,XTYFQ,ONO2XTYFQ0122307,海运-小额,1,SF1664603629963,1,0.41,,,,245.59,,,,0,245.59
ONO230701,SNSYN,ABC2XXXXX6422306,海运-小额,1,7.86982E+13,0.569,0.01,,,,,,,,,3
ONO230701,SNSYN,ABC2XXXXX6412306,海运-小额,1,JT3036314206299,0.36,0.01,,,,,,,,,3
ONO230701,BTTBX,ABC2XXXXX6372306,海运-小额,1,4.33281E+14,1.004,0.01,,,,,,,,,3
ONO230701,YTWNA,ABC2XXXXX6462306,海运-小额,1,JT3035759156117,5.82,0.01,,,,,,,,,3
,,,,,,,,,,,,,,,,2021.94
