"","客户编号","入仓号","包裹类型","总件数","快递号","总重量(kg)","总体积重","是否超长","是否付款","实付金额(C$)","freight(C$)","Duty(C$)","GST(C$)","附加服务","保险","总金额(C$)"
"","RAFEF","ONO2RAFEF0752308","海运-小额","1","773236054028021","2.599","0.01","","","","3","0","0","","0","3"
"","PWSQZ","ONO2PWSQZ0242308","海运-小额","1","776352240344583","0.685","0.01","","","","3","","","","0","3"
"","PWSQZ","ONO2PWSQZ0232308","海运-小额","1","773236052806937","1.539","0.01","","","","3","","","","0","3"
"","RAFEF","ONO2RAFEF0742308","海运-小额","1","YT7406348151400","0.85","0.01","","","","3","0","0","","0","3"
"","PFHXU","ONO2PFHXU0652308","海运-小额","1","318601731285372","0.159","0.01","","","","3","","","","0","3"
"","CSAPW","ONO2CSAPW0262308","海运-小额","1","JT3040756395321","1.429","0.01","","","","3","0","0","","0","3"
"","BTTBX","ONO2BTTBX0262308","海运-小额","1","78710475863181","1.11","0.01","","","","3","0","0","","0","3"
"","CSAPW","ONO2CSAPW0252308","海运-小额","1","78710251332669","1.169","0.01","","","","3","0","0","","0","3"
"","SPSUH","ONO2SPSUH0072308","海运-小额","1","433366934891882","0.935","0.01","","","","3","0","0","","0","3"
"","KNAUR","ONO2KNAUR1102308","海运-小额","1","773235381701615","1.6","0.01","","","","3","0","0","","0","3"
"","BTTBX","ONO2BTTBX0252308","海运-小额","1","YT7405352033555","3.914","0.01","","","","3","0","0","","0","3"
"","XTYFQ","ONO2XTYFQ0182307","海运-小额","1","78708497920781","1.029","0.01","","","","3","0","0","","0","3"
"","WKWQZ","ONO2WKWQZ0562307","海运-小额","1","JT3039994511039","5.489","0.01","","","","3","0","0","","0","3"
"","ZNZQK","ONO2ZNZQK0042307","海运-小额","1","773234723882572","1","0.01","","","","3","0","0","","0","3"
"","NAKWB","ONO2NAKWB0222307","海运-小额","1","78707882776816","4.074","0.01","","","","3","0","0","","0","3"
"","EUHSA","ONO2EUHSA0032307","海运-小额","1","JT5206755917512","3.595","0.01","","","","3","0","0","","0","3"
"","BTTBX","ONO2BTTBX0242307","海运-小额","1","433347916917882","2.9","0.01","","","","3","0","0","","0","3"
"","BTWKY","ONO2BTWKY0162307","海运-小额","1","433346093124182","2.369","0.01","","","","3","0","0","","0","3"
"","WZYZN","ONO2WZYZN0122307","海运-小额","1","78707093696061","4.094","0.01","","","","3","0","0","","0","3"
"","CXRNX","ONO2CXRNX0642307","海运-小额","1","78707089078837","4.074","0.01","","","","3","0","0","","0","3"
"","BTTBX","ONO2BTTBX0212307","海运-小额","1","78707063826259","1.125","0.01","","","","3","0","0","","0","3"
"","BTTBX","ONO2BTTBX0182307","海运-小额","1","433347898891188","4.09","0.01","","","","3","0","0","","0","3"
"","XAWTF","ONO2XAWTF0522307","海运-小额","1","78707087096117","7.715","0.01","","","","3","0","0","","0","3"
"","ZUCKQ","ONO2ZUCKQ0502307","海运-小额","1","78707089776038","4.065","0.01","","","","3","0","0","","0","3"
"","BTTBX","ONO2BTTBX0172307","海运-小额","1","78706708120257","3.21","0.01","","","","3","0","0","","0","3"
"","YFWZE","ONO2YFWZE0362307","海运-小额","1","JT3039375476312","1.84","0.01","","","","3","0","0","","0","3"
"","FUTNN","ONO2FUTNN0792307","海运-小额","1","776350899225042","2.365","0.01","","","","3","0","0","","0","3"
"","EUNBX","ONO2EUNBX0402308","海运-小额","1","78713494328014","0.5","0.01","","","","3","0","0","","0","3"
"","PNHNK","ONO2PNHNK0122308","海运-小额","1","YT1813226284271","0.33","0.01","","","","3","0","0","","0","3"
"","CXRNX","ONO2CXRNX0712308","海运-小额","1","JT0008971368969","1.404","0.01","","","","3","0","0","","0","3"
"","CXRNX","ONO2CXRNX0702308","海运-小额","1","YT8921176757208","2.17","0.01","","","","3","0","0","","0","3"
"","RXBUN","ONO2RXBUN0602308","海运-小额","1","SF1618847480132","0.74","0.01","","","","3","0","0","","0","3"
"","CUFPQ","ONO2CUFPQ0352308","海运-小额","1","433381245805812","1.22","0.01","","","","3","0","0","","0","3"
"","EBHTY","ONO2EBHTY0012308","海运-小额","1","YT7407747295461","1.07","0.01","","","","3","0","0","","0","3"
"","EUNBX","ONO2EUNBX0392308","海运-小额","1","JT3041512914442","1.115","0.01","","","","3","0","0","","0","3"
"","ASXYZ","ONO2ASXYZ0472308","海运-小额","1","433377755275339","1.514","0.01","","","","3","0","0","","0","3"
"","BTTBX","ONO2BTTBX0302308","海运-小额","1","433376203727743","1","0.01","","","","3","0","0","","0","3"
"","FBTXW","ONO2FBTXW0032308","海运-小额","1","78711793499511","0.884","0.01","","","","3","0","0","","0","3"
"","USPAX","ONO2USPAX0502308","海运-小额","1","78711793260412","0.879","0.01","","","","3","","","","0","3"
"","BTTBX","ONO2BTTBX0292308","海运-小额","1","78711792331744","0.894","0.01","","","","3","0","0","","0","3"
"","EUNBX","ONO2EUNBX0352308","海运-小额","1","78712234261769","1.1","0.01","","","","3","0","0","","0","3"
"","EUNBX","ONO2EUNBX0342308","海运-小额","1","78712074714090","1.034","0.01","","","","3","0","0","","0","3"
"","UCTNY","ONO2UCTNY0072308","海运-小额","1","433381683789312","1.49","0.01","","","","3","0","0","","0","3"
"","CUFPQ","ONO2CUFPQ0332308","海运-小额","1","JT3041574733990","2.924","0.01","","","","3","0","0","","0","3"
"","EUNBX","ONO2EUNBX0322308","海运-小额","1","773237017167980","2.164","0.01","","","","3","0","0","","0","3"
"","XQCBE","ONO2XQCBE0202308","海运-小额","1","JT2931097416477","0.939","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0132308","海运-小额","1","YT7407500821005","2.494","0.01","","","","3","0","0","","0","3"
"","EUNBX","ONO2EUNBX0312308","海运-小额","1","YT7407434446804","0.959","0.01","","","","3","0","0","","0","3"
"","XWWYY","ONO2XWWYY0092308","海运-小额","1","78711573030683","2.109","0.01","","","","3","0","0","","0","3"
"","WSYZB","ONO2WSYZB0092308","海运-小额","1","JT3041325255127","0.639","0.01","","","","3","0","0","","0","3"
"","PWSQZ","ONO2PWSQZ0262308","海运-小额","1","773236041857966","1.684","0.01","","","","3","","","","0","3"
"","BTTBX","ONO2BTTBX0272308","海运-小额","1","JD0113083622208-1-1-","2.069","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0122308","海运-小额","1","773231187594275","1.96","0.01","","","","3","0","0","","0","3"
"","NAKWB","ONO2NAKWB0242308","海运-小额","1","78710476118996","1.19","0.01","","","","3","","","","0","3"
"","TBUXB","ONO2TBUXB1392308","海运-小额","1","SF1418822796934","2.63","0.01","","","","3","0","0","","0","3"
"","WUWRK","ONO2WUWRK0062307","海运-小额","1","433361417380978","0.86","0.01","","","","3","0","0","","0","3"
"","WUWRK","ONO2WUWRK0052307","海运-小额","1","433360493981971","1.664","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0192308","海运-小额","1","433392068683071","0.425","0.01","","","","3","0","0","","0","3"
"","EBPPQ","ONO2EBPPQ0012308","海运-小额","1","YT7409139192305","0.92","0.01","","","","3","0","0","","0","3"
"","SCXET","ONO2SCXET0022308","海运-小额","1","773238232516617","3.105","0.01","","","","3","0","0","","0","3"
"","BQSQU","ONO2BQSQU0082308","海运-小额","1","YT7408916905093","2.684","0.01","","","","3","0","0","","0","3"
"","XXXXX","ONO2XXXXX6942308","海运-小额","1","JT5212073067066","3.65","0.01","","","","3","","","","0","3"
"","RXBUN","ONO2RXBUN0622308","海运-小额","1","DPK300837100926","4.434","0.01","","","","3","0","0","","0","3"
"","PNHNK","ONO2PNHNK0112308","海运-小额","1","YT1813275585738","1.409","0.01","","","","3","0","0","","0","3"
"","QPKWH","ONO2QPKWH0112308","海运-小额","1","JT3041994565234","0.74","0.01","","","","3","0","0","","0","3"
"","RXBUN","ONO2RXBUN0612308","海运-小额","1","DPK300837103020","6.3","0.01","","","","3","0","0","","0","3"
"","HKUZP","ONO2HKUZP0082308","海运-小额","1","JT3041937673714","2.23","0.01","","","","3","0","0","","0","3"
"","NEPEB","ONO2NEPEB0362308","海运-小额","1","YT7408278853898","1.355","0.01","","","","3","0","0","","0","3"
"","EBHTY","ONO2EBHTY0032308","海运-小额","1","9871956322644","0.735","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0152308","海运-小额","1","YT1813274699627","1","0.01","","","","3","0","0","","0","3"
"","WKWQZ","ONO2WKWQZ0622308","海运-小额","1","YT8921068760051","1.879","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0142308","海运-小额","1","YT1813664965484","0.34","0.01","","","","3","0","0","","0","3"
"","PNHNK","ONO2PNHNK0102308","海运-小额","1","YT1813282147240","1.495","0.01","","","","3","0","0","","0","3"
"","HKUZP","ONO2HKUZP0072308","海运-小额","1","73506475684889","1.429","0.01","","","","3","0","0","","0","3"
"","RXBUN","ONO2RXBUN0592308","海运-小额","1","SF1661686578657","1","0.01","","","","3","0","0","","0","3"
"","ANEET","ONO2ANEET0052308","海运-小额","1","78712435444604","4.3","0.01","","","","3","0","0","","0","3"
"","EBHTY","ONO2EBHTY0022308","海运-小额","1","YT7407695268430","4.829","0.01","","","","3","0","0","","0","3"
"","KNAUR","ONO2KNAUR1112308","海运-小额","1","9871934913586","3.22","0.01","","","","3","0","0","","0","3"
"","EUNBX","ONO2EUNBX0432308","海运-小额","1","773239449400267","0.469","0.01","","","","3","0","0","","0","3"
"","TBUXB","ONO2TBUXB1412308","海运-小额","1","78715821657963","0.379","0.01","","","","3","0","0","","0","3"
"","HWBYS","ONO2HWBYS0032308","海运-小额","1","78715574841320","1.325","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0272308","海运-小额","1","9782886955885","1.72","0.01","","","","3","0","0","","0","3"
"","ZUCKQ","ONO2ZUCKQ0522308","海运-小额","1","78715578908883","1.615","0.01","","","","3","0","0","","0","3"
"","FANKR","ONO2FANKR0292308","海运-小额","1","78715353134936","2.97","0.01","","","","3","0","0","","0","3"
"","YTKNE","ONO2YTKNE0032308","海运-小额","1","78361137520059","2.299","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0242308","海运-小额","1","78714784936106","4.394","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0232308","海运-小额","1","9773785996785","1.394","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0222308","海运-小额","1","9773786003885","1.34","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0212308","海运-小额","1","9773786017485","1.774","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0202308","海运-小额","1","9872026120537","5.73","0.01","","","","3","0","0","","0","3"
"","EUBZN","ONO2EUBZN0152308","海运-小额","1","78361137371275","4.744","0.01","","","","3","0","0","","0","3"
"","YSFAP","ONO2YSFAP0702308","海运-小额","1","JT0009026446737","8.119","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0182308","海运-小额","1","78714355041990","0.865","0.01","","","","3","0","0","","0","3"
"","TQTHZ","ONO2TQTHZ0172308","海运-小额","1","78714304057682","1.644","0.01","","","","3","0","0","","0","3"
"","FQFEB","ONO2FQFEB0132308","海运-小额","1","YT7408640110572","2.595","0.01","","","","3","0","0","","0","3"
"","WKWQZ","ONO2WKWQZ0632308","海运-小额","1","JT5211973819135","1.23","0.01","","","","3","0","0","","0","3"
"","XRXSK","ONO2XRXSK0092308","海运-小额","1","78713816905942","5.53","0.01","","","","3","0","0","","3","6"
"","ATKTX","ONO2ATKTX0102308","海运-小额","1","773239260175042","0.8","0.01","","","","3","0","0","","0","3"
"","HWBYS","ONO2HWBYS0022308","海运-小额","1","78715567278766","0.855","0.01","","","","3","0","0","","0","3"
"","HWBYS","ONO2HWBYS0012308","海运-小额","1","776356825992872","1.845","0.01","","","","3","0","0","","0","3"
"","ZUCKQ","ONO2ZUCKQ0532308","海运-小额","1","78715577997956","2.194","0.01","","","","3","0","0","","0","3"
"","YEKTE","ONO2YEKTE0182308","海运-小额","1","YT7406268111964","1.639","0.01","","","","3","0","0","","0","3"
"","WUUWH","ONO2WUUWH0252307","海运-小额","1","777156970560567","2.809","0.02","","","","11.98","0","0","","0","11.98"
"","FQFEB","ONO2FQFEB0112307","海运-小额","1","JD0112558337762-1-1-","10.395","0.02","","","","11.98","0","0","","0","11.98"
"","CXRNX","ONO2CXRNX0662307","海运-小额","1","78708379372518","3.535","0.02","","","","11.98","0","0","","0","11.98"
"","CXRNX","ONO2CXRNX0652307","海运-小额","1","YT8918210420321","7.855","0.02","","","","11.98","0","0","","0","11.98"
"","TBUXB","ONO2TBUXB1272307","海运-小额","1","YT7404219970167","2.269","0.02","","","","11.98","0","0","","0","11.98"
"","CXRNX","ONO2CXRNX0622307","海运-小额","1","SF1626667361956","3.674","0.02","","","","11.98","0","0","","0","11.98"
"","SEWHR","ONO2SEWHR0132307","海运-小额","1","777155390431985","1.684","0.02","","","","11.98","0","0","","0","11.98"
"","CUFPQ","ONO2CUFPQ0342308","海运-小额","1","433381236675449","3.069","0.02","","","","11.98","0","0","","0","11.98"
"","EUNBX","ONO2EUNBX0382308","海运-小额","1","JT3041551624548","2.115","0.02","","","","11.98","0","0","","0","11.98"
"","EUNBX","ONO2EUNBX0372308","海运-小额","1","JT3041552274725","1.664","0.02","","","","11.98","0","0","","0","11.98"
"","XQCBE","ONO2XQCBE0212308","海运-小额","1","JT2931280357674","0.795","0.02","","","","11.98","0","0","","0","11.98"
"","EUNBX","ONO2EUNBX0332308","海运-小额","1","9871941787857","1.565","0.02","","","","11.98","0","0","","0","11.98"
"","EUNBX","ONO2EUNBX0302308","海运-小额","1","JT3041560835122","2.275","0.02","","","","11.98","0","0","","0","11.98"
"","EUNBX","ONO2EUNBX0292308","海运-小额","1","9871923460394","0.985","0.02","","","","11.98","0","0","","0","11.98"
"","EBRXX","ONO2EBRXX0042308","海运-小额","1","YT7406773198243","3.345","0.02","","","","11.98","0","0","","0","11.98"
"","WKWQZ","ONO2WKWQZ0582308","海运-小额","1","777157881052149","1.429","0.02","","","","11.98","0","0","","0","11.98"
"","YEKTE","ONO2YEKTE0192308","海运-小额","1","78709917751243","1","0.02","","","","11.98","0","0","","0","11.98"
"","SPSUH","ONO2SPSUH0052308","海运-小额","1","YT7406131606449","1.554","0.02","","","","11.98","0","0","","0","11.98"
"","ATKTX","ONO2ATKTX0092308","海运-小额","1","433363130015360","1","0.02","","","","11.98","0","0","","0","11.98"
"","TBUXB","ONO2TBUXB1382307","海运-小额","1","433361531343488","1","0.02","","","","11.98","0","0","","0","11.98"
"","CXRNX","ONO2CXRNX0682307","海运-小额","1","433360524280802","7.969","0.02","","","","11.98","0","0","","0","11.98"
"","UTSCU","ONO2UTSCU0042308","海运-小额","1","DPK300839614181","1","0.02","","","","11.98","0","0","","0","11.98"
"","XRXSK","ONO2XRXSK0082308","海运-小额","1","78713816905930","6.585","0.02","","","","11.98","0","0","","3","14.98"
"","KNZCH","ONO2KNZCH0022308","海运-小额","1","YT7408274480676","2.91","0.02","","","","11.98","0","0","","0","11.98"
"","PNHNK","ONO2PNHNK0092308","海运-小额","1","YT7407852673437","1.445","0.02","","","","11.98","0","0","","0","11.98"
"","PNHNK","ONO2PNHNK0082308","海运-小额","1","YT7407848204797","1.029","0.02","","","","11.98","0","0","","0","11.98"
"","CEFPS","ONO2CEFPS0102308","海运-小额","1","YT7407426131004","2.664","0.02","","","","11.98","0","0","","0","11.98"
"","EUNBX","ONO2EUNBX0282308","海运-小额","1","433378388897149","6.514","0.02","","","","11.98","0","0","","0","11.98"
"","WYNAZ","ONO2WYNAZ0062308","海运-小额","1","772021527068512","2.515","0.02","","","","11.98","0","0","","0","11.98"
"","WKWQZ","ONO2WKWQZ0612308","海运-小额","1","78711662289231","1","0.02","","","","11.98","0","0","","0","11.98"
"","WKWQZ","ONO2WKWQZ0602308","海运-小额","1","78711663369722","1","0.02","","","","11.98","0","0","","0","11.98"
"","CSAPW","ONO2CSAPW0292308","海运-小额","1","JT3041121430642","4.369","0.02","","","","11.98","0","0","","0","11.98"
"","CSAPW","ONO2CSAPW0282308","海运-小额","1","773236468025395","5.309","0.02","","","","11.98","0","0","","0","11.98"
"","WKWQZ","ONO2WKWQZ0572308","海运-小额","1","777158193334498","2.4","0.02","","","","11.98","0","0","","0","11.98"
"","TBUXB","ONO2TBUXB1372307","海运-小额","1","433361728488795","2.46","0.02","","","","11.98","0","0","","0","11.98"
"","FQFEB","ONO2FQFEB0122307","海运-小额","1","75611056742556","10.715","0.02","","","","11.98","0","0","","0","11.98"
"","EUNBX","ONO2EUNBX0422308","海运-小额","1","433393926156304","2.115","0.02","","","","11.98","0","0","","0","11.98"
"","ZUCKQ","ONO2ZUCKQ0512308","海运-小额","1","YT7408605328396","3.25","0.02","","","","11.98","0","0","","0","11.98"
"","RAFEF","ONO2RAFEF0812308","海运-小额","1","YT8922072153752","14.494","0.02","","","","11.98","0","0","","0","11.98"
"","WKWQZ","ONO2WKWQZ0642308","海运-小额","1","777160312311266","6.175","0.02","","","","11.98","0","0","","0","11.98"
"","TBUXB","ONO2TBUXB1332307","海运-小额","1","78709221116384","3.13","0.03","","","","17.97","0","0","","0","17.97"
"","CUFPQ","ONO2CUFPQ0312307","海运-小额","1","78708512791218","1","0.03","","","","17.97","0","0","","0","17.97"
"","XWWYY","ONO2XWWYY0082307","海运-小额","1","73505677230713","8.34","0.03","","","","17.97","0","0","","0","17.97"
"","YSFAP","ONO2YSFAP0672307","海运-小额","1","78708041012112","7.485","0.03","","","","17.97","0","0","","0","17.97"
"","XTYFQ","ONO2XTYFQ0172307","海运-小额","1","433344968466714","2.68","0.03","","","","17.97","0","0","","0","17.97"
"","EUHSA","ONO2EUHSA0022307","海运-小额","1","463029826372909","6.67","0.03","","","","17.97","0","0","","0","17.97"
"","SEWHR","ONO2SEWHR0152307","海运-小额","1","YT8918034062082","1","0.03","","","","17.97","0","0","","0","17.97"
"","BEEBN","ONO2BEEBN0072307","海运-小额","1","YT7404051847348","2.265","0.03","","","","17.97","0","0","","0","17.97"
"","WKWQZ","ONO2WKWQZ0532307","海运-小额","1","78355299981077","2.625","0.03","","","","17.97","0","0","","0","17.97"
"","WKWQZ","ONO2WKWQZ0522307","海运-小额","1","777155667932694","2.68","0.03","","","","17.97","0","0","","0","17.97"
"","CSAPW","ONO2CSAPW0272308","海运-小额","1","78710510725866","5.51","0.03","","","","17.97","0","0","","0","17.97"
"","YEKTE","ONO2YEKTE0172308","海运-小额","1","78710124741239","4.409","0.03","","","","17.97","0","0","","0","17.97"
"","FUTNN","ONO2FUTNN0802307","海运-小额","1","9854984303363","4.434","0.03","","","","17.97","0","0","","0","17.97"
"","NEPEB","ONO2NEPEB0352308","海运-小额","1","611451218882673","3.214","0.03","","","","17.97","0","0","","0","17.97"
"","UTSCU","ONO2UTSCU0052308","海运-小额","1","78713774512564","1.664","0.03","","","","17.97","0","0","","0","17.97"
"","CUFPQ","ONO2CUFPQ0362308","海运-小额","1","SF1675758123324","3.565","0.03","","","","17.97","0","0","","0","17.97"
"","QPKWH","ONO2QPKWH0102308","海运-小额","1","433386156582339","1","0.03","","","","17.97","0","0","","0","17.97"
"","NEPEB","ONO2NEPEB0332308","海运-小额","1","YT7407405035460","3.519","0.03","","","","17.97","0","0","","0","17.97"
"","TTNKF","ONO2TTNKF0252308","海运-小额","1","78711793369767","8.199","0.03","","","","17.97","0","0","","0","17.97"
"","EUHSA","ONO2EUHSA0042308","海运-小额","1","JT5210614659550","6.59","0.03","","","","17.97","0","0","","0","17.97"
"","XWWYY","ONO2XWWYY0072307","海运-小额","1","73505677280456","4.78","0.03","","","","17.97","0","0","","0","17.97"
"","EBRXX","ONO2EBRXX0062308","海运-小额","1","463069176169561","2.549","0.03","","","","17.97","0","0","","0","17.97"
"","YEKTE","ONO2YEKTE0202308","海运-小额","1","433395955851882","2.484","0.03","","","","17.97","0","0","","3","20.97"
"","EBRXX","ONO2EBRXX0052308","海运-小额","1","YT8921720311885","2.9","0.03","","","","17.97","0","0","","0","17.97"
"","FUTNN","ONO2FUTNN0822308","海运-小额","1","78711793204043","11.909","0.03","","","","17.97","0","0","","0","17.97"
"","HHRQF","ONO2HHRQF0232308","海运-小额","1","YT7409086914104","3.154","0.03","","","","17.97","0","0","","0","17.97"
"","ZNZQK","ONO2ZNZQK0102307","海运-小额","1","78708884582435","6.795","0.03","","","","17.97","0","0","","0","17.97"
"","ZNZQK","ONO2ZNZQK0082307","海运-小额","1","DPK300827292340","1","0.04","","","","23.96","0","0","","0","23.96"
"","ZNZQK","ONO2ZNZQK0072307","海运-小额","1","DPK300827273686","1","0.04","","","","23.96","0","0","","0","23.96"
"","CUFPQ","ONO2CUFPQ0302307","海运-小额","1","78708512791290","1","0.04","","","","23.96","0","0","","0","23.96"
"","ZNZQK","ONO2ZNZQK0052307","海运-小额","1","433357737682979","5.485","0.04","","","","23.96","0","0","","0","23.96"
"","TYFZT","ONO2TYFZT0182307","海运-小额","1","SF1145853142257","1","0.04","","","","23.96","0","0","","0","23.96"
"","KNAUR","ONO2KNAUR1092307","海运-小额","1","YT7404366206203","3.035","0.04","","","","23.96","0","0","","0","23.96"
"","SEWHR","ONO2SEWHR0142307","海运-小额","1","YT8917997937189","1","0.04","","","","23.96","0","0","","0","23.96"
"","TBUXB","ONO2TBUXB1262307","海运-小额","1","78705816034337","1","0.04","","","","23.96","0","0","","0","23.96"
"","BHFXH","ONO2BHFXH0082308","海运-小额","1","9796484932481","10.534","0.04","","","","23.96","0","0","","0","23.96"
"","TQTHZ","ONO2TQTHZ0162308","海运-小额","1","YT7408347797850","9.8","0.04","","","","23.96","0","0","","3","26.96"
"","NEPEB","ONO2NEPEB0342308","海运-小额","1","611451218882517","1.475","0.04","","","","23.96","0","0","","0","23.96"
"","TBUXB","ONO2TBUXB1402308","海运-小额","1","78713333115273","1","0.04","","","","23.96","0","0","","0","23.96"
"","EUNBX","ONO2EUNBX0362308","海运-小额","1","YT7407387124143","4.005","0.04","","","","23.96","0","0","","0","23.96"
"","BQSQU","ONO2BQSQU0062308","海运-小额","1","78712176688756","3","0.04","","","","23.96","0","0","","0","23.96"
"","XAWTF","ONO2XAWTF0532308","海运-小额","1","78711623383291","2.234","0.04","","","","23.96","0","0","","0","23.96"
"","RATWT","ONO2RATWT0252308","海运-小额","1","SF1628682628389","4.01","0.04","","","","23.96","0","0","","0","23.96"
"","PSHCW","ONO2PSHCW0082308","海运-小额","1","73506838716334","1","0.04","","","","23.96","0","0","","0","23.96"
"","TQTHZ","ONO2TQTHZ0262308","海运-小额","1","JT3042588131245","1","0.04","","","","23.96","0","0","","0","23.96"
"","SXTSR","ONO2SXTSR0052308","海运-小额","1","JT3042578409808","1","0.04","","","","23.96","0","0","","0","23.96"
"","XPUCF","ONO2XPUCF0082308","海运-小额","1","78711623228934","2.65","0.04","","","","23.96","0","0","","0","23.96"
"","ZNZQK","ONO2ZNZQK0062307","海运-小额","1","DPK300827292338","1","0.05","","","","29.95","0","0","","0","29.95"
"","CUFPQ","ONO2CUFPQ0292307","海运-小额","1","78708515529200","1","0.05","","","","29.95","0","0","","0","29.95"
"","XWWYY","ONO2XWWYY0062307","海运-小额","1","73505677315028","15.359","0.05","","","","29.95","0","0","","0","29.95"
"","EUBZN","ONO2EUBZN0142307","海运-小额","1","78706442969290","6.744","0.05","","","","29.95","0","0","","0","29.95"
"","NAKWB","ONO2NAKWB0232308","海运-小额","1","SF1444167058151","3.799","0.05","","","","29.95","","","","0","29.95"
"","WUUWH","ONO2WUUWH0262308","海运-小额","1","9871861575475","3.059","0.05","","","","29.95","0","0","","0","29.95"
"","ZNZQK","ONO2ZNZQK0092307","海运-小额","1","YT7405015693416","1","0.05","","","","29.95","0","0","","0","29.95"
"","RXBUN","ONO2RXBUN0642308","海运-小额","1","DPK381044077826","1","0.05","","","","29.95","0","0","","0","29.95"
"","USYSW","ONO2USYSW0312308","海运-小额","1","701570","0.474","0.05","","","","29.95","0","0","","0","29.95"
"","CUFPQ","ONO2CUFPQ0322308","海运-小额","1","428097129031103","4.25","0.05","","","","29.95","0","0","","0","29.95"
"","FQPAH","ONO2FQPAH0092307","海运-小额","1","772021310916515","11.725","0.06","","","","35.94","0","0","","0","35.94"
"","BHFQC","ONO2BHFQC0092307","海运-小额","1","SF1619086956103","6.554","0.06","","","","35.94","0","0","","0","35.94"
"","QCCNQ","ONO2QCCNQ0202307","海运-小额","1","800028586052","1","0.06","","","","35.94","0","0","","0","35.94"
"","HTAAY","ONO2HTAAY0712308","海运-小额","1","YT7407978924664","1","0.06","","","","35.94","0","0","","0","35.94"
"","UHCSQ","ONO2UHCSQ0442307","海运-小额","1","433362657843168","2.799","0.06","","","","35.94","0","0","","0","35.94"
"","RXBUN","ONO2RXBUN0632308","海运-小额","1","DPK364220487328","1","0.06","","","","35.94","0","0","","0","35.94"
"","YTWNA","ONO2YTWNA0172308","海运-小额","1","YT7408361659653","16.37","0.06","","","","35.94","0","0","","0","35.94"
"","BTTBX","ONO2BTTBX0322308","海运-小额","1","78712539765473","3.869","0.06","","","","35.94","0","0","","0","35.94"
"","BTTBX","ONO2BTTBX0312308","海运-小额","1","78711623384377","4.085","0.06","","","","35.94","0","0","","0","35.94"
