客户编号,入仓号,包裹类型,总件数,快递号,总重量(kg),总体积重,是否超长,freight(C$),Duty(C$),GST(C$),保险,总金额(C$),操作
CXRNX,ONO2CXRNX0582307,海运-小额,1,433334579895369 ,0.925,0.01,,3,0,0,0,3,
CXRNX,ONO2CXRNX0692308,海运-小额,1,78709995332595 ,1.539,0.01,,3,0,0,0,3,
CXRNX,ONO2CXRNX0672307,海运-小额,1,78708904505356 ,1.855,0.01,,3,0,0,0,3,
EENPX,ONO2EENPX0422307,海运-小额,1,776350990002514 ,1.07,0.01,,3,0,0,0,3,
EFNBZ,ONO2EFNBZ0242307,海运-小额,1,78355892343888 ,1.49,0.01,,3,,,0,3,
EUBZN,ONO2EUBZN0122307,海运-小额,1,78704628859853 ,1.409,0.01,,3,0,0,0,3,
PBRQP,ONO2PBRQP0072307,海运-小额,1,773231358673269 ,2.599,0.01,,3,,,0,3,
PBRQP,ONO2PBRQP0092307,海运-小额,1,YT7403792747900,2.14,0.01,,3,,,0,3,
PFHXU,ONO2PFHXU0552307,海运-小额,1,75704257005636 ,1.129,0.01,,3,0,0,0,3,
PFHXU,ONO2PFHXU0642307,海运-小额,1,776350565173642 ,0.4,0.01,,3,0,0,0,3,
PFHXU,ONO2PFHXU0632307,海运-小额,1,773233143280193 ,3.924,0.01,,3,0,0,0,3,
PFHXU,ONO2PFHXU0622307,海运-小额,1,75705929873609 ,0.18,0.01,,3,0,0,0,3,
PFHXU,ONO2PFHXU0612307,海运-小额,1,YT1809780386784,1.019,0.01,,3,0,0,0,3,
PFHXU,ONO2PFHXU0602307,海运-小额,1,75706002006520 ,1.205,0.01,,3,0,0,0,3,
PFHXU,ONO2PFHXU0592307,海运-小额,1,75705930747622 ,0.224,0.01,,3,0,0,0,3,
PFHXU,ONO2PFHXU0582307,海运-小额,1,75705929477831 ,0.204,0.01,,3,0,0,0,3,
PFHXU,ONO2PFHXU0572307,海运-小额,1,75705929477538 ,0.189,0.01,,3,0,0,0,3,
PFHXU,ONO2PFHXU0562307,海运-小额,1,75705685945048 ,2.41,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0662307,海运-小额,1,78353362683861 ,0.425,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0652307,海运-小额,1,YT8915593918018,0.405,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0642307,海运-小额,1,YT8915593916546,0.409,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0632307,海运-小额,1,YT8915593914056,0.395,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0622307,海运-小额,1,YT8915593916414,0.455,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0582307,海运-小额,1,433326748097409 ,0.79,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0572307,海运-小额,1,433326749694342 ,0.774,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0542307,海运-小额,1,YT8914185820395,1.34,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0532307,海运-小额,1,YT8914185819645,2.099,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0522307,海运-小额,1,YT8914185818501,1.375,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0512307,海运-小额,1,78352034632939 ,3.535,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0492307,海运-小额,1,YT7400902914377,0.649,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0462307,海运-小额,1,YT8914201253068,1.559,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0722307,海运-小额,1,73505122709746 ,1.379,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0712307,海运-小额,1,433338112926352 ,1.74,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0692307,海运-小额,1,73504935736041 ,1.485,0.01,,3,0,0,0,3,
RAFEF,ONO2RAFEF0732307,海运-小额,1,78356653117489 ,2.16,0.01,,3,0,0,0,3,
RHUCC,ONO2RHUCC0032307,海运-小额,1,78705257363547 ,1.08,0.01,,3,0,0,0,3,
RHUCC,ONO2RHUCC0022307,海运-小额,1,78705255703608 ,1.97,0.01,,3,0,0,0,3,
SCXET,ONO2SCXET0012307,海运-小额,1,75708340186078 ,1.934,0.01,,3,0,0,3,6,
SEWHR,ONO2SEWHR0112307,海运-小额,1,78702953920694 ,0.465,0.01,,3,0,0,0,3,
SEWHR,ONO2SEWHR0102307,海运-小额,1,78702941800257 ,1.065,0.01,,3,0,0,0,3,
SEWHR,ONO2SEWHR0092307,海运-小额,1,773231807292403 ,0.615,0.01,,3,0,0,0,3,
SEWHR,ONO2SEWHR0082307,海运-小额,1,YT8915335418408,2.099,0.01,,3,0,0,0,3,
SEWHR,ONO2SEWHR0122307,海运-小额,1,312223794737725 ,0.774,0.01,,3,0,0,0,3,
SFTXQ,ONO2SFTXQ0202308,海运-小额,1,78357521656704 ,1.669,0.01,,3,0,0,0,3,
SNSYN,ONO2SNSYN0152307,海运-小额,1,773231604559288 ,0.529,0.01,,3,0,0,0,3,
SPSUH,ONO2SPSUH0062308,海运-小额,1,776352002353456 ,0.745,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1292307,海运-小额,1,JT3039504686177,1.725,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1282307,海运-小额,1,773234101691522 ,1.345,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1232307,海运-小额,1,YT7403474931458,1.919,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1212307,海运-小额,1,78705816906996 ,1.504,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1362307,海运-小额,1,773235411572271 ,1.184,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1352307,海运-小额,1,JT3040321271514,0.529,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1342307,海运-小额,1,YT7405535491781,0.155,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1322307,海运-小额,1,78709098564027 ,0.365,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1222307,海运-小额,1,YT7403453909823,1.35,0.01,,3,0,0,0,3,
TBUXB,ONO2TBUXB1202307,海运-小额,1,78705843828344 ,1.379,0.01,,3,0,0,0,3,
TQTHZ,ONO2TQTHZ0092307,海运-小额,1,433328507517906 ,2.45,0.01,,3,0,0,0,3,
TQTHZ,ONO2TQTHZ0102307,海运-小额,1,YT7402226943666,1.21,0.01,,3,0,0,0,3,
TQTHZ,ONO2TQTHZ0112308,海运-小额,1,73505896294714 ,1.674,0.01,,3,0,0,0,3,
TXFFZ,ONO2TXFFZ0172307,海运-小额,1,PH07212141444,0.605,0.01,,3,0,0,0,3,
UHCSQ,ONO2UHCSQ0432307,海运-小额,1,78706116995734 ,1.37,0.01,,3,0,0,0,3,
UHCSQ,ONO2UHCSQ0452308,海运-小额,1,78709635707127 ,1.684,0.01,,3,0,0,0,3,
WABCU,ONO2WABCU0022307,海运-小额,1,9871649369753 ,3.894,0.01,,3,0,0,0,3,
WKWQZ,ONO2WKWQZ0512307,海运-小额,1,YT2503404523801,1.049,0.01,,3,0,0,0,3,
WKWQZ,ONO2WKWQZ0542307,海运-小额,1,YT8918124121790,0.884,0.01,,3,0,0,0,3,
WUUWH,ONO2WUUWH0232307,海运-小额,1,JT3038309898163,0.67,0.01,,3,0,0,0,3,
WUWRK,ONO2WUWRK0042307,海运-小额,1,YT7405437051034,0.104,0.01,,3,,,0,3,
XTYFQ,ONO2XTYFQ0152307,海运-小额,1,SF1619350386151,1.065,0.01,,3,0,0,0,3,
XXXXX,ABC2XXXXX6702307,海运-小额,1,JT3038834068025,0.714,0.01,,3,,,0,3,
YSFAP,ONO2YSFAP0632307,海运-小额,1,YT7402006117571,1.11,0.01,,3,0,0,0,3,
YSFAP,ONO2YSFAP0642307,海运-小额,1,SF1446349828916,1.174,0.01,,3,0,0,0,3,
YTPSB,ONO2YTPSB0182307,海运-小额,1,SF1604329443758,1,0.01,,3,0,0,0,3,
ZAKZU,ONO2ZAKZU0042307,海运-小额,1,YT7405272095587,1.684,0.01,,3,0,0,0,3,
ZNSEW,ONO2ZNSEW0052307,海运-小额,1,773233561589301 ,1.35,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY361A2307,海运-小额,1,76000386171148 ,1.85,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY367A2307,海运-小额,1,433355819022079 ,0.384,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY366A2307,海运-小额,1,78707898793076 ,0.435,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY365A2307,海运-小额,1,78707864268742 ,0.66,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY363A2307,海运-小额,1,433344162519731 ,1.029,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY360A2307,海运-小额,1,773233563261004 ,0.964,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY359A2307,海运-小额,1,776240536860838 ,0.975,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY356A2307,海运-小额,1,776240533796846 ,0.665,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY355A2307,海运-小额,1,776240533659380 ,0.694,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY354A2307,海运-小额,1,SF6092255608643,0.644,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY358A2307,海运-小额,1,73504773729310 ,0.449,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY357A2307,海运-小额,1,777153188185740 ,0.365,0.01,,3,0,0,0,3,
SALLY,ABC2SALLY353A2307,海运-小额,1,74100265573567 ,0.36,0.01,,3,0,0,0,3,
ASXYZ,ONO2ASXYZ0402307,海运-小额,1,78704996384899 ,3.18,0.02,,11.98,0,0,0,11.98,
BTTBX,ONO2BTTBX0162307,海运-小额,1,433322653851470 ,5.394,0.02,,11.98,0,0,0,11.98,
BTWKY,ONO2BTWKY0132307,海运-小额,1,YT7403206286401,3.349,0.02,,11.98,0,0,0,11.98,
BUXQY,ONO2BUXQY0102307,海运-小额,1,78704517908441 ,4.11,0.02,,11.98,0,0,0,11.98,
CSAPW,ONO2CSAPW0242307,海运-小额,1,773233126491464 ,4.735,0.02,,11.98,0,0,0,11.98,
CUFPQ,ONO2CUFPQ0282307,海运-小额,1,78708512791106 ,1.315,0.02,,11.98,0,0,0,11.98,
CXRNX,ONO2CXRNX0572307,海运-小额,1,78702672387703 ,3.019,0.02,,11.98,0,0,0,11.98,
CXRNX,ONO2CXRNX0602307,海运-小额,1,YT7402776089281,1.884,0.02,,11.98,0,0,0,11.98,
FBTXW,ONO2FBTXW0022307,海运-小额,1,JT3038467994056,6.8,0.02,,11.98,0,0,0,11.98,
FUTNN,ONO2FUTNN0782307,海运-小额,1,78704650113119 ,2.48,0.02,,11.98,0,0,0,11.98,
FUTNN,ONO2FUTNN0772307,海运-小额,1,物流自送,1,0.02,,11.98,0,0,0,11.98,
FUTNN,ONO2FUTNN0732307,海运-小额,1,YT2501650869232,10,0.02,,11.98,0,0,0,11.98,
FUTNN,ONO2FUTNN0722307,海运-小额,1,YT2501650812382,12.529,0.02,,11.98,0,0,0,11.98,
JUNEN,ONO2JUNEN0992307,海运-小额,1,75706113237826 ,8,0.02,,11.98,0,0,0,11.98,
KYFNZ,ONO2KYFNZ0122307,海运-小额,1,JT3038469416939,8.005,0.02,,11.98,0,0,0,11.98,
NUQZY,ONO2NUQZY0072307,海运-小额,1,78704406001277 ,3.375,0.02,,11.98,0,0,0,11.98,
PWSQZ,ONO2PWSQZ0222307,海运-小额,1,78704649883975 ,1.159,0.02,,11.98,0,0,0,11.98,
PWSQZ,ONO2PWSQZ0212307,海运-小额,1,78704405092289 ,4.25,0.02,,11.98,0,0,0,11.98,
RAFEF,ONO2RAFEF0602307,海运-小额,1,78353407441518 ,2.125,0.02,,11.98,0,0,3,14.98,
RAFEF,ONO2RAFEF0592307,海运-小额,1,78353484604773 ,1.995,0.02,,11.98,0,0,3,14.98,
RAFEF,ONO2RAFEF0552307,海运-小额,1,JT3037581700375,4.059,0.02,,11.98,0,0,0,11.98,
RAFEF,ONO2RAFEF0702307,海运-小额,1,JT3038079859229,8.72,0.02,,11.98,0,0,0,11.98,
RAFEF,ONO2RAFEF0672307,海运-小额,1,SF1604415420727,1.35,0.02,,11.98,0,0,0,11.98,
RHUCC,ONO2RHUCC0042307,海运-小额,1,78705256624349 ,4.454,0.02,,11.98,0,0,0,11.98,
TBUXB,ONO2TBUXB1312307,海运-小额,1,YT7405497248801,1,0.02,,11.98,0,0,0,11.98,
TBUXB,ONO2TBUXB1302307,海运-小额,1,78707399740942 ,2.015,0.02,,11.98,0,0,0,11.98,
TBUXB,ONO2TBUXB1242307,海运-小额,1,YT7403469693101,1.73,0.02,,11.98,0,0,0,11.98,
TQTHZ,ONO2TQTHZ0082307,海运-小额,1,SF1680882017697,3.68,0.02,,11.98,0,0,0,11.98,
WKWQZ,ONO2WKWQZ0552307,海运-小额,1,78356204242956 ,1.465,0.02,,11.98,0,0,0,11.98,
WUUWH,ONO2WUUWH0222307,海运-小额,1,JT3038324908050,0.735,0.02,,11.98,0,0,0,11.98,
XTYFQ,ONO2XTYFQ0132307,海运-小额,1,JT3037785175878,0.894,0.02,,11.98,0,0,0,11.98,
YSFAP,ONO2YSFAP0652307,海运-小额,1,SF1695694762361,2.714,0.02,,11.98,0,0,0,11.98,
ZNSEW,ONO2ZNSEW0062307,海运-小额,1,DPK300828007026,1,0.02,,11.98,0,0,0,11.98,
SALLY,ABC2SALLY362A2307,海运-小额,1,78706005451376 ,0.689,0.02,,11.98,0,0,0,11.98,
EUBZN,ONO2EUBZN0132307,海运-小额,1,78704374895135 ,2.954,0.03,,17.97,0,0,0,17.97,
FBTXW,ONO2FBTXW0012307,海运-小额,1,SF1441472028377,4.635,0.03,,17.97,0,0,0,17.97,
FUTNN,ONO2FUTNN0702307,海运-小额,1,1236187572637 ,7.835,0.03,,17.97,0,0,0,17.97,
FUTNN,ONO2FUTNN0712307,海运-小额,1,YT2503301647866,4.635,0.03,,17.97,0,0,0,17.97,
PWSQZ,ONO2PWSQZ0202307,海运-小额,1,1236187579137 ,7.9,0.03,,17.97,0,0,0,17.97,
RAFEF,ONO2RAFEF0452307,海运-小额,1,YT8914201253181,1.659,0.03,,17.97,0,0,0,17.97,
SSCKQ,ONO2SSCKQ0052307,海运-小额,1,SF1420328679952,3.319,0.03,,17.97,0,0,3,20.97,
WABCU,ONO2WABCU0032307,海运-小额,1,1236187574337 ,7.875,0.03,,17.97,0,0,0,17.97,
XAWTF,ONO2XAWTF0502307,海运-小额,1,1236187564137 ,7.885,0.03,,17.97,0,0,0,17.97,
XTYFQ,ONO2XTYFQ0112307,海运-小额,1,433321866326090 ,12.305,0.03,,17.97,0,0,0,17.97,
XXXXX,ABC2XXXXX5662304,海运-小额,1,SF1380328969640,4.96,0.03,,17.97,,,0,17.97,
ZNZQK,ONO2ZNZQK0032307,海运-小额,1,773232942528190 ,4.21,0.03,,17.97,0,0,0,17.97,
SALLY,ABC2SALLY350A2307,海运-小额,1,433319103140238 ,3.865,0.03,,17.97,0,0,0,17.97,
ASXYZ,ONO2ASXYZ0412307,海运-小额,1,433340025323174 ,3.559,0.04,,23.96,0,0,0,23.96,
BBYZZ,ONO2BBYZZ0272307,海运-小额,1,318574263196320 ,3.704,0.04,,23.96,0,0,0,23.96,
BUXQY,ONO2BUXQY0092307,海运-小额,1,1260359840348 ,3.2,0.04,,23.96,0,0,0,23.96,
CEFPS,ONO2CEFPS0092307,海运-小额,1,SF1458866826290,6.07,0.04,,23.96,0,0,0,23.96,
FUTNN,ONO2FUTNN0762307,海运-小额,1,YT2501650884055,20.87,0.04,,23.96,0,0,0,23.96,
NAAAY,ONO2NAAAY0042307,海运-小额,1,DPK331352792610,1,0.04,,23.96,0,0,0,23.96,
UWCPF,ONO2UWCPF0252307,海运-小额,1,SF1103620710117,8.229,0.04,,23.96,0,0,0,23.96,
WUUWH,ONO2WUUWH0242307,海运-小额,1,78704406001343 ,4.309,0.04,,23.96,0,0,0,23.96,
WZYZN,ONO2WZYZN0112307,海运-小额,1,78704402232565 ,6.179,0.04,,23.96,0,0,0,23.96,
WZYZN,ONO2WZYZN0102307,海运-小额,1,78704551335695 ,3.619,0.04,,23.96,0,0,0,23.96,
XAWTF,ONO2XAWTF0512307,海运-小额,1,78704406683443 ,4.375,0.04,,23.96,0,0,0,23.96,
XTYFQ,ONO2XTYFQ0162307,海运-小额,1,78705981827715 ,2.204,0.04,,23.96,0,0,0,23.96,
XWWYY,ONO2XWWYY0042307,海运-小额,1,78704374377831 ,4.699,0.04,,23.96,0,0,0,23.96,
ZUCKQ,ONO2ZUCKQ0492307,海运-小额,1,YT7403159977175,2.984,0.04,,23.96,0,0,0,23.96,
CUFPQ,ONO2CUFPQ0252307,海运-小额,1,YT7402980089132,5.505,0.05,,29.95,0,0,0,29.95,
CXRNX,ONO2CXRNX0612307,海运-小额,1,433338154523183 ,6.53,0.05,,29.95,0,0,0,29.95,
FUTNN,ONO2FUTNN0752307,海运-小额,1,YT2503301588589,20.784,0.05,,29.95,0,0,0,29.95,
KRWRZ,ONO2KRWRZ0282307,海运-小额,1,1248899628348 ,7.219,0.05,,29.95,0,0,0,29.95,
RAFEF,ONO2RAFEF0682307,海运-小额,1,SF1376336384995,1.894,0.05,,29.95,0,0,3,32.95,
TBUXB,ONO2TBUXB1252307,海运-小额,1,YT7403479233739,1,0.05,,29.95,0,0,0,29.95,
SALLY,ABC2SALLY352A2307,海运-小额,1,SF1420118839146,21.985,0.05,,29.95,0,0,0,29.95,
SALLY,ABC2SALLY351A2307,海运-小额,1,SF1454396833267,4.675,0.05,,29.95,0,0,0,29.95,
FUTNN,ONO2FUTNN0742307,海运-小额,1,YT2503301620593,12.024,0.06,,35.94,0,0,0,35.94,
RAFEF,ONO2RAFEF0612307,海运-小额,1,78703510844244 ,3.295,0.06,,35.94,0,0,3,38.94,
WAZQA,ONO2WAZQA0052307,海运-小额,1,YT7403489533012,1,0.06,,35.94,0,0,0,35.94,
YTPSB,ONO2YTPSB0192307,海运-小额,1,DPK364214213068,1,0.07,,41.93,0,0,0,41.93,
TBUXB,ONO2TBUXB1192307,海运-小额,1,78705839750568 ,12.045,0.08,,47.92,0,0,0,47.92,
YFWZE,ONO2YFWZE0352307,海运-小额,2,JDVE08321606759,2,0.08,,47.92,0,0,0,47.92,
BUXQY,ONO2BUXQY0062307,海运-小额,1,78704621400461 ,1,0.09,,53.91,0,0,0,53.91,
PERTW,ONO2PERTW0022307,海运-小额,1,312220849339379 ,1,0.09,,53.91,0,0,3,56.91,
CXRNX,ONO2CXRNX0562307,海运-小额,1,JDVA21226840324,1,0.1,,59.9,0,0,0,59.9,
XTYFQ,ONO2XTYFQ0082307,海运-小额,1,SF1688872757531,1,0.1,,59.9,0,0,0,59.9,
YSFAP,ONO2YSFAP0662307,海运-小额,1,78705623695377 ,12.489,0.1,,59.9,0,0,0,59.9,
NRCNQ,ONO2NRCNQ0132307,海运-小额,2,JDKA00484456438,2,0.13,,77.87,0,0,0,77.87,
SCRTB,ONO2SCRTB0092307,海运-小额,1,DPK280003766015,1,0.16,,95.84,0,0,6,101.84,
TXFFZ,ONO2TXFFZ0162307,海运-小额,1,773231180110265 ,1,0.16,,95.84,0,0,0,95.84,
YNESE,ONO2YNESE0022307,海运-小额,2,JDKA00490797099,2,0.16,,95.84,0,0,0,95.84,
XXXXX,ABC2XXXXX6282306,海运-小额,1,S60607834989,1,0.17,,101.83,,,0,101.83,
RHUCC,ONO2RHUCC0012307,海运-小额,2,SF1418451118048,1,0.19,,113.81,0,0,0,113.81,
XTYFQ,ONO2XTYFQ0092307,海运-小额,1,SF1676757059065,1,0.2,,119.8,0,0,0,119.8,
XTYFQ,ONO2XTYFQ0102307,海运-小额,1,SF1688872757831,1,0.2,,119.8,0,0,0,119.8,
XTYFQ,ONO2XTYFQ0142307,海运-小额,1,SF1664692610203,1,0.2,,119.8,0,0,0,119.8,
XXXXX,ABC2XXXXX6322306,海运-小额,1,560613598752 ,1,0.2,,119.8,,,0,119.8,
SCRTB,ONO2SCRTB0072307,海运-小额,1,SF1420108563953,1,0.22,,131.78,0,0,3,134.78,
UWCPF,ONO2UWCPF0242307,海运-小额,2,SF1103620710171,1,0.25,,149.75,0,0,0,149.75,
SCRTB,ONO2SCRTB0082307,海运-小额,1,SF1418791939960,1,0.26,,155.74,0,0,3,158.74,
SCRTB,ONO2SCRTB0102307,海运-小额,4,DPK280003766007,4,0.61,,365.39,0,0,6,371.39,
BUXQY,ONO2BUXQY0012307,海运-小额,1,SF1439592304413,1,0.62,,371.38,0,0,0,371.38,
CUFPQ,ONO2CUFPQ0232307,海运-小额,4,SF1517933498806,4,2.65,,1587.35,0,0,0,1587.35,
RXBUN,ONO2RXBUN0582307,海运-小额,3,SF1656861133666,1,2.69,,1611.31,,,,1611.31,
,,,,,,,,,,,,7554.01,
